,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 1,3750 (D20),3082 (D18),7160 (E20),5712 (B17),829 (G20),7608 (F18)
Qualification 2,3985 (F20),201 (C20),66 (E12),537 (B15),4342 (F13),1768 (C16)
Qualification 3,4930 (B11),2052 (C17),3683 (G19),2559 (F14),1305 (E19),7400 (B12)
Qualification 4,2549 (C15),4362 (A16),123 (B20),7432 (G18),3003 (F15),7048 (G11)
Qualification 5,5883 (D16),2220 (C12),5172 (C18),4607 (G12),45 (C13),1796 (H17)
Qualification 6,3504 (E15),5587 (E17),7785 (G17),4472 (D13),747 (C19),876 (F19)
Qualification 7,2137 (B18),6911 (A12),3277 (B13),1076 (D17),2370 (F11),870 (A20)
Qualification 8,7656 (B14),85 (H11),1481 (G13),2960 (E13),2723 (B19),3386 (G14)
Qualification 9,3536 (D11),293 (C11),619 (A14),67 (H13),7769 (F17),2386 (E16)
Qualification 10,3314 (A18),3467 (E11),1468 (G16),3452 (B16),4256 (F16),5690 (D14)
Qualification 11,2096 (D19),5436 (H15),234 (D12),5050 (E18),1816 (G15),2590 (E14)
Qualification 12,111 (F12),2370 (F11),5883 (D16),7785 (G17),3750 (D20),5243 (D15)
Qualification 13,1305 (E19),3386 (G14),3985 (F20),4362 (A16),4607 (G12),1076 (D17)
Qualification 14,3003 (F15),45 (C13),2559 (F14),2960 (E13),7160 (E20),67 (H13)
Qualification 15,4472 (D13),3082 (D18),2137 (B18),5690 (D14),201 (C20),3536 (D11)
Qualification 16,3277 (B13),537 (B15),2386 (E16),7048 (G11),876 (F19),7656 (B14)
Qualification 17,3504 (E15),7400 (B12),2096 (D19),5436 (H15),123 (B20),2723 (B19)
Qualification 18,6911 (A12),7769 (F17),5172 (C18),4342 (F13),3452 (B16),1816 (G15)
Qualification 19,3683 (G19),870 (A20),3314 (A18),829 (G20),111 (F12),1468 (G16)
Qualification 20,7432 (G18),2220 (C12),4256 (F16),7608 (F18),1481 (G13),5587 (E17)
Qualification 21,234 (D12),2549 (C15),619 (A14),1768 (C16),3467 (E11),5243 (D15)
Qualification 22,4930 (B11),66 (E12),293 (C11),747 (C19),5712 (B17),5050 (E18)
Qualification 23,1796 (H17),2590 (E14),537 (B15),2052 (C17),3386 (G14),85 (H11)
Qualification 24,4607 (G12),4342 (F13),111* (F12),3082* (D18),7400 (B12),5690 (D14)
Qualification 25,1816* (G15),3003 (F15),1305 (E19),2370* (F11),1468 (G16),4256 (F16)
Qualification 26,7160 (E20),3683 (G19),1076 (D17),3750 (D20),5172 (C18),123 (B20)
Qualification 27,2220 (C12),747 (C19),2096 (D19),870 (A20),7656 (B14),3467 (E11)
Qualification 28,2549 (C15),7048 (G11),7608 (F18),4472 (D13),66 (E12),7769 (F17)
Qualification 29,3452 (B16),3985 (F20),2723 (B19),876 (F19),293 (C11),2052 (C17)
Qualification 30,3314 (A18),2960 (E13),2137 (B18),3277 (B13),619 (A14),5712 (B17)
Qualification 31,4362 (A16),829 (G20),5587 (E17),3536 (D11),2590 (E14),5436 (H15)
Qualification 32,85 (H11),67 (H13),5883 (D16),3504 (E15),4930 (B11),7432 (G18)
