Description,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 1,4079 (A39),2584 (C44),442 (A30),1746 (B38),364 (B24),3931 (C38)
Qualification 2,330 (B27),7895 (C33),7088 (D29),1261 (B32),2990 (A28),368 (B34)
Qualification 3,5526 (D39),2375 (A33),6443 (A23),386 (A27),1339 (A42),3309 (D25)
Qualification 4,6608 (D35),1515 (D31),7767 (D23),7529 (A32),2183 (B31),4400 (A44)
Qualification 5,6014 (A37),4188 (B33),5126 (A25),5572 (B44),2147 (B26),5515 (B25)
Qualification 6,4775 (C46),4290 (A41),6390 (A40),4561 (C23),687 (A29),7725 (B23)
Qualification 7,2881 (B28),1785 (A31),4534 (D41),7108 (A38),3024 (B29),587 (C25)
Qualification 8,1939 (B36),3792 (B40),2080 (C30),5242 (D27),7419 (C32),7891 (C34)
Qualification 9,2486 (D33),2811 (A24),3481 (C40),4911 (D37),7796 (A43),2102 (C28)
Qualification 10,7179 (C31),7567 (A34),118 (C36),4255 (C24),5006 (A35),2643 (B42)
Qualification 11,2662 (D43),3240 (B30),3132 (A36),1678 (A26),5892 (C26),2905 (C29)
Qualification 12,3039 (C27),1261 (B32),364 (B24),5126 (A25),7426 (C42),1339 (A42)
Qualification 13,5572 (B44),7895 (C33),5526 (D39),7725 (B23),587 (C25),7767 (D23)
Qualification 14,2881 (B28),3309 (D25),442 (A30),2183 (B31),2080 (C30),2811 (A24)
Qualification 15,4290 (A41),4534 (D41),2643 (B42),1515 (D31),2102 (C28),1939 (B36)
Qualification 16,4561 (C23),7796 (A43),3024 (B29),5006 (A35),7088 (D29),2147 (B26)
Qualification 17,7567 (A34),4911 (D37),2584 (C44),330 (B27),1678 (A26),3240 (B30)
Qualification 18,386 (A27),2486 (D33),687 (A29),7419 (C32),7179 (C31),2905 (C29)
Qualification 19,5515 (B25),3039 (C27),3792 (B40),4775 (C46),3931 (C38),4079 (A39)
Qualification 20,5892 (C26),4255 (C24),4188 (B33),4400 (A44),7891 (C34),2375 (A33)
Qualification 21,6390 (A40),7529 (A32),7426 (C42),3132 (A36),7108 (A38),2990 (A28)
Qualification 22,5242 (D27),2662 (D43),3481 (C40),6443 (A23),1746 (B38),118 (C36)
Qualification 23,368 (B34),1785 (A31),2905 (C29),6608 (D35),6014 (A37),4534 (D41)
Qualification 24,5526 (D39),3931 (C38),2643* (B42),4290 (A41),7796 (A43),1261* (B32)
Qualification 25,3024* (B29),2486 (D33),5892 (C26),386* (A27),4255 (C24),3039 (C27)
Qualification 26,2584 (C44),687 (A29),7529 (A32),5006 (A35),3792 (B40),587 (C25)
Qualification 27,7179 (C31),1746 (B38),2183 (B31),5515 (B25),2375 (A33),7108 (A38)
Qualification 28,1939 (B36),6443 (A23),4911 (D37),5572 (B44),2990 (A28),7567 (A34)
Qualification 29,7895 (C33),7419 (C32),364 (B24),4400 (A44),1785 (A31),3481 (C40)
Qualification 30,2147 (B26),330 (B27),4079 (A39),2080 (C30),2881 (B28),3132 (A36)
Qualification 31,1515 (D31),368 (B34),6390 (A40),118 (C36),5126 (A25),442 (A30)
Qualification 32,1678 (A26),2102 (C28),7426 (C42),6608 (D35),4561 (C23),3309 (D25)
Qualification 33,7088 (D29),6014 (A37),7891 (C34),7767 (D23),2811 (A24),4775 (C46)
Qualification 34,3240 (B30),1339 (A42),5242 (D27),4188 (B33),2662 (D43),7725 (B23)
Qualification 35,1785 (A31),2486 (D33),2080 (C30),1746 (B38),1261 (B32),7529 (A32)
Qualification 36,3132 (A36),2375 (A33),2183 (B31),368 (B34),5572 (B44),5006 (A35)
Qualification 37,4079 (A39),3481 (C40),4255 (C24),4534 (D41),386 (A27),4561 (C23)
Qualification 38,587 (C25),4775 (C46),7088 (D29),442 (A30),2905 (C29),7567 (A34)
Qualification 39,3309 (D25),5126 (A25),364 (B24),7767 (D23),7179 (C31),4290 (A41)
Qualification 40,2662 (D43),2643 (B42),1515 (D31),3039 (C27),2584 (C44),2147 (B26)
Qualification 41,2811 (A24),7725 (B23),3240 (B30),7108 (A38),3931 (C38),7419 (C32)
Qualification 42,5515 (B25),4400 (A44),7426 (C42),5242 (D27),5526 (D39),7796 (A43)
Qualification 43,7891 (C34),687 (A29),6608 (D35),2990 (A28),3024 (B29),4911 (D37)
Qualification 44,6390 (A40),1939 (B36),5892 (C26),330 (B27),1339 (A42),6014 (A37)
Qualification 45,4188 (B33),118 (C36),1678 (A26),3792 (B40),7895 (C33),2102 (C28)
Qualification 46,2881 (B28),3240 (B30),2375 (A33),6443 (A23),7767 (D23),1261 (B32)
Qualification 47,2643 (B42),2080 (C30),386 (A27),7426 (C42),5572 (B44),1785 (A31)
Qualification 48,2905 (C29),5515 (B25),7725 (B23),4911 (D37),4255 (C24),3309 (D25)
Qualification 49,2584 (C44),7088 (D29),2990 (A28),2183 (B31),3481 (C40),4290 (A41)
Qualification 50,1939 (B36),4079 (A39),5126 (A25),5526 (D39),4775 (C46),2486 (D33)
Qualification 51,442 (A30),3024 (B29),2662 (D43),7895 (C33),6014 (A37),7179 (C31)
Qualification 52,3792 (B40),6608 (D35),2147 (B26),5892 (C26),7108 (A38),7567 (A34)
Qualification 53,1515 (D31),3039 (C27),5006 (A35),4188 (B33),2881 (B28),7419 (C32)
Qualification 54,2102 (C28),3931 (C38),1339 (A42),687 (A29),4400 (A44),3132 (A36)
Qualification 55,6443 (A23),7891 (C34),1678 (A26),7796 (A43),7529 (A32),368 (B34)
Qualification 56,4561 (C23),587 (C25),2811 (A24),118 (C36),5242 (D27),330 (B27)
Qualification 57,1746 (B38),5572 (B44),6390 (A40),2905 (C29),4534 (D41),364 (B24)
Qualification 58,1261 (B32),7567 (A34),6014 (A37),7725 (B23),3481 (C40),1515 (D31)
Qualification 59,2375 (A33),2147 (B26),4255 (C24),3931 (C38),1939 (B36),6608 (D35)
Qualification 60,5126 (A25),4911 (D37),7108 (A38),2662 (D43),7088 (D29),2080 (C30)
Qualification 61,3792 (B40),2183 (B31),1785 (A31),1339 (A42),4561 (C23),6443 (A23)
Qualification 62,3024 (B29),7767 (D23),4188 (B33),7796 (A43),2584 (C44),4775 (C46)
Qualification 63,2990 (A28),2486 (D33),6390 (A40),2643 (B42),5242 (D27),2881 (B28)
Qualification 64,330 (B27),442 (A30),4290 (A41),7529 (A32),7419 (C32),5515 (B25)
Qualification 65,4079 (A39),3132 (A36),3309 (D25),118 (C36),7891 (C34),7895 (C33)
Qualification 66,587 (C25),4534 (D41),7179 (C31),4400 (A44),1678 (A26),3039 (C27)
Qualification 67,2102 (C28),364 (B24),5006 (A35),5526 (D39),386 (A27),3240 (B30)
Qualification 68,2811 (A24),7426 (C42),368 (B34),687 (A29),5892 (C26),1746 (B38)
Qualification 69,4911 (D37),4290 (A41),2662 (D43),2375 (A33),6390 (A40),3792 (B40)
Qualification 70,3132 (A36),330 (B27),2584 (C44),5126 (A25),6443 (A23),6608 (D35)
Qualification 71,2486 (D33),442 (A30),7725 (B23),1785 (A31),2147 (B26),7891 (C34)
Qualification 72,1678 (A26),5242 (D27),7895 (C33),386 (A27),2183 (B31),5006 (A35)
Qualification 73,7567 (A34),4561 (C23),7419 (C32),4534 (D41),7767 (D23),1746 (B38)
Qualification 74,1261 (B32),1515 (D31),5572 (B44),2811 (A24),4079 (A39),7179 (C31)
Qualification 75,6014 (A37),5515 (B25),4255 (C24),2080 (C30),3240 (B30),2990 (A28)
Qualification 76,3024 (B29),7529 (A32),3039 (C27),118 (C36),2905 (C29),5526 (D39)
Qualification 77,2643 (B42),7108 (A38),4400 (A44),3309 (D25),368 (B34),4775 (C46)
Qualification 78,3481 (C40),4188 (B33),3931 (C38),7426 (C42),587 (C25),1939 (B36)
Qualification 79,364 (B24),2881 (B28),5892 (C26),7088 (D29),2102 (C28),687 (A29)
Qualification 80,1339 (A42),1746 (B38),1515 (D31),7796 (A43),2990 (A28),1678 (A26)
Qualification 81,6443 (A23),2147 (B26),7895 (C33),6390 (A40),5515 (B25),2811 (A24)
Qualification 82,3039 (C27),1785 (A31),4290 (A41),7567 (A34),3132 (A36),5242 (D27)
Qualification 83,3481 (C40),3309 (D25),3024 (B29),3240 (B30),3792 (B40),5126 (A25)
Qualification 84,687 (A29),2375 (A33),118 (C36),2486 (D33),330 (B27),7108 (A38)
Qualification 85,2183 (B31),364 (B24),4911 (D37),7529 (A32),2643 (B42),4188 (B33)
Qualification 86,2102 (C28),7419 (C32),587 (C25),6014 (A37),368 (B34),4079 (A39)
