,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 1,2673 (A32),3990 (C31),5125 (E36),1922 (C39),2202 (C35),120 (B32)
Qualification 2,5740 (B36),319 (B35),4096 (B40),4039 (F33),5926 (F38),4946 (D40)
Qualification 3,340 (H31),2869 (G35),4525 (F31),223 (C34),7530 (D36),7645 (D38)
Qualification 4,453 (B34),6237 (B33),3550 (D35),4903 (B38),2957 (B37),558 (G31)
Qualification 5,694 (H35),176 (F40),2614 (B39),2062 (E35),1574 (E34),3414 (E40)
Qualification 6,1787 (G32),2702 (D33),1729 (F34),4680 (H33),7523 (D31),2200 (E38)
Qualification 7,7417 (D39),133 (D37),4728 (A38),7797 (D32),172 (F39),4003 (C32)
Qualification 8,6088 (G33),3193 (G37),4130 (A34),2611 (E32),6016 (F37),5724 (F32)
Qualification 9,862 (G34),1718 (E33),4541 (C38),2075 (A40),1091 (E31),3641 (G36)
Qualification 10,6455 (F36),6024 (E39),2619 (D34),4593 (E37),2883 (F35),1506 (C40)
Qualification 11,7491 (C33),4970 (C37),2994 (C36),1885 (A36),2638 (B31),3630 (G39)
Qualification 12,3075 (G38),2614 (B39),133 (D37),1418 (G40),4039 (F33),2702 (D33)
Qualification 13,2202 (C35),5125 (E36),5926 (F38),1787 (G32),558 (G31),3193 (G37)
Qualification 14,2611 (E32),4096 (B40),1574 (E34),1729 (F34),2062 (E35),2075 (A40)
Qualification 15,2883 (F35),453 (B34),6455 (F36),2673 (A32),4003 (C32),319 (B35)
Qualification 16,4541 (C38),2200 (E38),6237 (B33),694 (H35),2994 (C36),4593 (E37)
Qualification 17,7523 (D31),1922 (C39),6016 (F37),2638 (B31),3075 (G38),4903 (B38)
Qualification 18,7417 (D39),1506 (C40),3414 (E40),340 (H31),5740 (B36),2957 (B37)
Qualification 19,3990 (C31),7797 (D32),7491 (C33),2869 (G35),862 (G34),3641 (G36)
Qualification 20,6088 (G33),7645 (D38),6024 (E39),1885 (A36),1418 (G40),223 (C34)
Qualification 21,4130 (A34),4946 (D40),172 (F39),120 (B32),4680 (H33),2619 (D34)
Qualification 22,176 (F40),4525 (F31),3550 (D35),4970 (C37),1091 (E31),5724 (F32)
Qualification 23,1718 (E33),7530 (D36),2638 (B31),3630 (G39),2200 (E38),4728 (A38)
Qualification 24,2869 (G35),1729* (F34),5125 (E36),3414* (E40),4039 (F33),6455 (F36)
Qualification 25,223 (C34),3075* (G38),2957 (B37),6237* (B33),3193 (G37),4903 (B38)
Qualification 26,2619 (D34),694 (H35),5740 (B36),2202 (C35),6088 (G33),3641 (G36)
Qualification 27,2883 (F35),4946 (D40),1091 (E31),7645 (D38),1787 (G32),133 (D37)
Qualification 28,5926 (F38),176 (F40),4003 (C32),6024 (E39),1718 (E33),1885 (A36)
Qualification 29,4970 (C37),558 (G31),3630 (G39),1574 (E34),340 (H31),3990 (C31)
Qualification 30,862 (G34),319 (B35),1506 (C40),4593 (E37),172 (F39),2611 (E32)
Qualification 31,4525 (F31),4680 (H33),7797 (D32),6016 (F37),4541 (C38),453 (B34)
Qualification 32,7491 (C33),120 (B32),2702 (D33),3550 (D35),4096 (B40),1922 (C39)
Qualification 33,5724 (F32),1418 (G40),2673 (A32),2062 (E35),2994 (C36),4728 (A38)
Qualification 34,7523 (D31),7417 (D39),4130 (A34),7530 (D36),2614 (B39),2075 (A40)
Qualification 35,1885 (A36),4903 (B38),694 (H35),172 (F39),6455 (F36),862 (G34)
