,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 1,3044 (G48),868 (D49),51 (B49),3381 (B50),7651 (D47),4381 (H45)
Qualification 2,6401 (H49),1690 (F45),245 (B43),1792 (F46),3604 (F48),5951 (C41)
Qualification 3,3618 (D42),5501 (F50),503 (C47),125 (F47),2500 (B48),3555 (F49)
Qualification 4,1317 (A44),250 (D48),6806 (G50),2337 (C42),1923 (C43),3624 (F43)
Qualification 5,236 (E43),3926 (A46),836 (H41),103 (E44),1918 (B42),225 (A48)
Qualification 6,5348 (D45),7480 (H43),5943 (C46),2502 (E45),4253 (F44),2791 (C45)
Qualification 7,217 (B45),7885 (F41),2771 (C48),5567 (E48),5811 (G45),4481 (E49)
Qualification 8,771 (E46),3707 (G49),190 (H47),2830 (B47),1058 (G41),365 (A42)
Qualification 9,7719 (B46),7462 (D44),449 (D41),3146 (C49),1218 (G46),3542 (E47)
Qualification 10,175 (B44),1676 (B41),3667 (G44),88 (D50),5084 (D46),191 (G43)
Qualification 11,2265 (F42),4143 (E42),7673 (G42),772 (D43),353 (G47),1024 (E50)
Qualification 12,16 (C44),6401 (H49),868 (D49),1781 (A50),250 (D48),2771 (C48)
Qualification 13,7651 (D47),5348 (D45),5501 (F50),2830 (B47),1317 (A44),836 (H41)
Qualification 14,503 (C47),6806 (G50),449 (D41),4253 (F44),225 (A48),51 (B49)
Qualification 15,7480 (H43),3667 (G44),3044 (G48),3604 (F48),1218 (G46),7462 (D44)
Qualification 16,1676 (B41),3624 (F43),2502 (E45),3618 (D42),1058 (G41),771 (E46)
Qualification 17,2265 (F42),175 (B44),125 (F47),7885 (F41),3542 (E47),1690 (F45)
Qualification 18,5811 (G45),772 (D43),88 (D50),245 (B43),3381 (B50),1923 (C43)
Qualification 19,2791 (C45),3146 (C49),1918 (B42),190 (H47),217 (B45),5951 (C41)
Qualification 20,103 (E44),4143 (E42),7719 (B46),4481 (E49),7673 (G42),5943 (C46)
Qualification 21,2500 (B48),16 (C44),1792 (F46),191 (G43),353 (G47),365 (A42)
Qualification 22,1781 (A50),3555 (F49),2337 (C42),3926 (A46),3707 (G49),5567 (E48)
Qualification 23,5084 (D46),2502 (E45),1024 (E50),4381 (H45),236 (E43),2771 (C48)
Qualification 24,125* (F47),2791 (C45),7651 (D47),1218 (G46),245 (B43),1918* (B42)
Qualification 25,250* (D48),3618 (D42),3146 (C49),2830* (B47),225 (A48),7885 (F41)
Qualification 26,365 (A42),7719 (B46),1792 (F46),217 (B45),3667 (G44),4253 (F44)
Qualification 27,5951 (C41),868 (D49),3542 (E47),3624 (F43),7480 (H43),7673 (G42)
Qualification 28,51 (B49),3555 (F49),6401 (H49),772 (D43),5348 (D45),2337 (C42)
Qualification 29,1690 (F45),190 (H47),1781 (A50),191 (G43),4381 (H45),5943 (C46)
Qualification 30,1923 (C43),449 (D41),5084 (D46),836 (H41),2265 (F42),1058 (G41)
Qualification 31,1024 (E50),1676 (B41),3604 (F48),3381 (B50),103 (E44),16 (C44)
Qualification 32,3926 (A46),4481 (E49),2500 (B48),236 (E43),6806 (G50),3707 (G49)
Qualification 33,5567 (E48),4143 (E42),88 (D50),1317 (A44),3044 (G48),5501 (F50)
Qualification 34,175 (B44),353 (G47),771 (E46),7462 (D44),503 (C47),5811 (G45)
Qualification 35,1792 (F46),2337 (C42),3618 (D42),868 (D49),5943 (C46),1058 (G41)
Qualification 36,245 (B43),3146 (C49),103 (E44),2265 (F42),51 (B49),191 (G43)
Qualification 37,2791 (C45),2771 (C48),7719 (B46),1923 (C43),1690 (F45),1676 (B41)
Qualification 38,16 (C44),5567 (E48),772 (D43),3667 (G44),236 (E43),3542 (E47)
Qualification 39,3707 (G49),1218 (G46),5348 (D45),7885 (F41),3624 (F43),503 (C47)
Qualification 40,836 (H41),3604 (F48),771 (E46),6806 (G50),217 (B45),4381 (H45)
Qualification 41,4481 (E49),5951 (C41),88 (D50),449 (D41),2830 (B47),3555 (F49)
Qualification 42,5811 (G45),7480 (H43),365 (A42),4143 (E42),250 (D48),5084 (D46)
Qualification 43,7673 (G42),7651 (D47),2500 (B48),7462 (D44),2502 (E45),190 (H47)
Qualification 44,225 (A48),3381 (B50),1317 (A44),1918 (B42),1781 (A50),175 (B44)
Qualification 45,125 (F47),3926 (A46),353 (G47),3044 (G48),1024 (E50),6401 (H49)
Qualification 46,4253 (F44),771 (E46),7885 (F41),5501 (F50),5951 (C41),103 (E44)
Qualification 47,1218 (G46),2337 (C42),4143 (E42),3542 (E47),1676 (B41),836 (H41)
Qualification 48,1923 (C43),3604 (F48),250 (D48),2502 (E45),7673 (G42),51 (B49)
Qualification 49,3146 (C49),5943 (C46),1690 (F45),3667 (G44),1317 (A44),5811 (G45)
Qualification 50,1918 (B42),16 (C44),3044 (G48),3555 (F49),1792 (F46),3624 (F43)
Qualification 51,3618 (D42),191 (G43),449 (D41),772 (D43),217 (B45),7651 (D47)
Qualification 52,3926 (A46),2830 (B47),5348 (D45),2500 (B48),2771 (C48),175 (B44)
Qualification 53,1058 (G41),7480 (H43),5501 (F50),6806 (G50),6401 (H49),1781 (A50)
Qualification 54,236 (E43),225 (A48),125 (F47),88 (D50),868 (D49),4253 (F44)
Qualification 55,3707 (G49),2791 (C45),3381 (B50),7719 (B46),2265 (F42),353 (G47)
Qualification 56,5084 (D46),190 (H47),5567 (E48),1024 (E50),245 (B43),503 (C47)
Qualification 57,7462 (D44),4481 (E49),3542 (E47),365 (A42),4381 (H45),1918 (B42)
Qualification 58,175 (B44),6806 (G50),5811 (G45),1792 (F46),103 (E44),2502 (E45)
Qualification 59,250 (D48),1218 (G46),217 (B45),5501 (F50),1690 (F45),236 (E43)
Qualification 60,3555 (F49),1058 (G41),3381 (B50),3146 (C49),191 (G43),4253 (F44)
Qualification 61,771 (E46),2337 (C42),5084 (D46),7651 (D47),16 (C44),7719 (B46)
Qualification 62,3707 (G49),1923 (C43),4381 (H45),5951 (C41),125 (F47),4143 (E42)
Qualification 63,353 (G47),51 (B49),190 (H47),868 (D49),4481 (E49),1676 (B41)
Qualification 64,5348 (D45),7673 (G42),6401 (H49),3667 (G44),3618 (D42),5567 (E48)
Qualification 65,2265 (F42),503 (C47),3926 (A46),1317 (A44),88 (D50),7480 (H43)
Qualification 66,2771 (C48),836 (H41),3044 (G48),5943 (C46),365 (A42),772 (D43)
Qualification 67,1781 (A50),449 (D41),3604 (F48),2500 (B48),7885 (F41),2791 (C45)
Qualification 68,3624 (F43),2830 (B47),245 (B43),1024 (E50),7462 (D44),225 (A48)
Qualification 69,5084 (D46),1792 (F46),3381 (B50),7673 (G42),5567 (E48),1218 (G46)
Qualification 70,6401 (H49),3146 (C49),1923 (C43),175 (B44),7651 (D47),236 (E43)
Qualification 71,2771 (C48),51 (B49),3707 (G49),190 (H47),4253 (F44),1918 (B42)
Qualification 72,6806 (G50),2265 (F42),3618 (D42),3044 (G48),365 (A42),5951 (C41)
Qualification 73,103 (E44),4381 (H45),2337 (C42),7480 (H43),2830 (B47),217 (B45)
Qualification 74,245 (B43),1317 (A44),7462 (D44),3555 (F49),7885 (F41),1676 (B41)
Qualification 75,3542 (E47),88 (D50),1024 (E50),5943 (C46),771 (E46),2500 (B48)
Qualification 76,225 (A48),1690 (F45),1058 (G41),16 (C44),5348 (D45),4143 (E42)
Qualification 77,353 (G47),3667 (G44),5501 (F50),449 (D41),2502 (E45),3926 (A46)
Qualification 78,125 (F47),5811 (G45),3624 (F43),7719 (B46),836 (H41),1781 (A50)
Qualification 79,250 (D48),772 (D43),191 (G43),503 (C47),2791 (C45),4481 (E49)
Qualification 80,868 (D49),5567 (E48),2265 (F42),3604 (F48),175 (B44),2830 (B47)
Qualification 81,7885 (F41),88 (D50),6806 (G50),7673 (G42),190 (H47),16 (C44)
Qualification 82,217 (B45),3542 (E47),5084 (D46),225 (A48),6401 (H49),3707 (G49)
Qualification 83,1024 (E50),51 (B49),836 (H41),1690 (F45),7462 (D44),3618 (D42)
Qualification 84,772 (D43),7719 (B46),3926 (A46),250 (D48),1792 (F46),4381 (H45)
Qualification 85,1058 (G41),103 (E44),1317 (A44),2771 (C48),125 (F47),1218 (G46)
Qualification 86,2791 (C45),1781 (A50),3667 (G44),4143 (E42),3555 (F49),771 (E46)
Qualification 87,3381 (B50),2502 (E45),236 (E43),5951 (C41),503 (C47),2337 (C42)
Qualification 88,3624 (F43),5943 (C46),3604 (F48),4481 (E49),353 (G47),7651 (D47)
Qualification 89,4253 (F44),3044 (G48),1676 (B41),3146 (C49),5811 (G45),2500 (B48)
Qualification 90,365 (A42),245 (B43),868 (D49),5348 (D45),449 (D41),1918 (B42)
Qualification 91,191 (G43),5501 (F50),225 (A48),7480 (H43),2771 (C48),1923 (C43)
Qualification 92,16 (C44),5951 (C41),1218 (G46),51 (B49),3926 (A46),175 (B44)
Qualification 93,7651 (D47),103 (E44),7462 (D44),88 (D50),3707 (G49),250 (D48)
Qualification 94,3542 (E47),4253 (F44),1317 (A44),353 (G47),5084 (D46),3618 (D42)
Qualification 95,2830 (B47),5811 (G45),236 (E43),1058 (G41),3604 (F48),2791 (C45)
Qualification 96,4143 (E42),190 (H47),3381 (B50),6401 (H49),3624 (F43),449 (D41)
Qualification 97,7885 (F41),836 (H41),191 (G43),7719 (B46),3044 (G48),2502 (E45)
Qualification 98,4381 (H45),2500 (B48),3667 (G44),2337 (C42),245 (B43),2265 (F42)
Qualification 99,1792 (F46),4481 (E49),5348 (D45),5501 (F50),1781 (A50),3146 (C49)
Qualification 100,217 (B45),365 (A42),7673 (G42),1676 (B41),503 (C47),125 (F47)
Qualification 101,5943 (C46),1024 (E50),3555 (F49),6806 (G50),1923 (C43),868 (D49)
Qualification 102,5567 (E48),1918 (B42),7480 (H43),771 (E46),772 (D43),1690 (F45)
