Description,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 1,6934 (I46),2158 (G46),2046 (G34),6885 (I37),6485 (H35),2992 (H29)
Qualification 2,5803 (I42),2438 (I32),4013 (I28),2976 (I45),4499 (H46),1072 (H51)
Qualification 3,4910 (G52),1899 (H32),691 (H48),7461 (H30),4020 (G36),7121 (G42)
Qualification 4,7607 (G30),6704 (I38),7447 (I25),6988 (H43),4550 (H27),1671 (I33)
Qualification 5,7787 (I41),6838 (I31),3946 (G48),6506 (H34),6907 (H37),4192 (G32)
Qualification 6,4043 (G28),1311 (I48),5887 (H47),1987 (H42),6064 (I34),7635 (I35)
Qualification 7,7433 (H49),3476 (H28),3824 (H41),6413 (I50),6919 (I36),5013 (I29)
Qualification 8,3616 (I43),7443 (H52),832 (G50),6814 (I49),5700 (G38),2714 (I27)
Qualification 9,59 (I44),7427 (H40),3635 (H26),2441 (H45),4183 (G44),1477 (H36)
Qualification 10,1425 (I52),3663 (I30),2357 (I47),2637 (H25),2710 (I51),5022 (H38)
Qualification 11,4087 (I26),744 (H44),2122 (H33),3794 (G26),4063 (I40),3834 (H50)
Qualification 12,2992 (H29),1987 (H42),7451 (H31),1671 (I33),7787 (I41),3735 (I39)
Qualification 13,4499 (H46),6988 (H43),4192 (G32),6064 (I34),2046 (G34),7461 (H30)
Qualification 14,4013 (I28),3616 (I43),6506 (H34),1899 (H32),1311 (I48),7433 (H49)
Qualification 15,4910 (G52),6885 (I37),2710 (I51),7635 (I35),6814 (I49),3476 (H28)
Qualification 16,5803 (I42),7427 (H40),744 (H44),5887 (H47),5022 (H38),7447 (I25)
Qualification 17,2441 (H45),832 (G50),6934 (I46),6919 (I36),4087 (I26),2158 (G46)
Qualification 18,3834 (H50),5700 (G38),7607 (G30),2357 (I47),2438 (I32),3635 (H26)
Qualification 19,6838 (I31),4020 (G36),3794 (G26),1072 (H51),6704 (I38),5013 (I29)
Qualification 20,3735 (I39),6413 (I50),6907 (H37),2122 (H33),1477 (H36),1425 (I52)
Qualification 21,4063 (I40),2714 (I27),7121 (G42),59 (I44),4043 (G28),3663 (I30)
Qualification 22,691 (H48),7451 (H31),2637 (H25),2976 (I45),3824 (H41),4183 (G44)
Qualification 23,3946 (G48),6485 (H35),5887 (H47),4499 (H46),7443 (H52),4550 (H27)
Qualification 24,5803* (I42),7461 (H30),2441 (H45),7635 (I35),1671 (I33),4192* (G32)
Qualification 25,4087* (I26),3476 (H28),6907 (H37),6064 (I34),3616 (I43),3735* (I39)
Qualification 26,6885 (I37),6506 (H34),6704 (I38),7427 (H40),6413 (I50),832 (G50)
Qualification 27,5022 (H38),59 (I44),2714 (I27),3834 (H50),4910 (G52),6838 (I31)
Qualification 28,7443 (H52),4043 (G28),2710 (I51),7787 (I41),2438 (I32),691 (H48)
Qualification 29,2158 (G46),1477 (H36),5700 (G38),4063 (I40),7451 (H31),2976 (I45)
Qualification 30,4550 (H27),6934 (I46),1425 (I52),3635 (H26),4013 (I28),7433 (H49)
Qualification 31,1987 (H42),3946 (G48),4020 (G36),2046 (G34),3663 (I30),6919 (I36)
Qualification 32,4183 (G44),2992 (H29),5013 (I29),1899 (H32),2122 (H33),2357 (I47)
Qualification 33,6814 (I49),3794 (G26),7447 (I25),7607 (G30),2637 (H25),6485 (H35)
Qualification 34,6988 (H43),1072 (H51),7121 (G42),744 (H44),3824 (H41),1311 (I48)
Qualification 35,7433 (H49),7427 (H40),5700 (G38),1671 (I33),4087 (I26),4499 (H46)
Qualification 36,3635 (H26),6064 (I34),3946 (G48),4020 (G36),59 (I44),2976 (I45)
Qualification 37,5022 (H38),6885 (I37),832 (G50),6907 (H37),4043 (G28),2441 (H45)
Qualification 38,1899 (H32),6413 (I50),2710 (I51),6934 (I46),7443 (H52),4063 (I40)
Qualification 39,5887 (H47),6988 (H43),2158 (G46),6814 (I49),3834 (H50),4183 (G44)
Qualification 40,1425 (I52),6506 (H34),5803 (I42),3824 (H41),2046 (G34),3794 (G26)
Qualification 41,2357 (I47),3735 (I39),2992 (H29),691 (H48),7447 (I25),6919 (I36)
Qualification 42,6704 (I38),6485 (H35),2122 (H33),7451 (H31),4910 (G52),1072 (H51)
Qualification 43,6838 (I31),7461 (H30),4013 (I28),3476 (H28),2637 (H25),1987 (H42)
Qualification 44,7121 (G42),7607 (G30),3616 (I43),5013 (I29),7635 (I35),7787 (I41)
Qualification 45,1477 (H36),4550 (H27),744 (H44),3663 (I30),4192 (G32),2438 (I32)
Qualification 46,2714 (I27),2976 (I45),4087 (I26),1311 (I48),2710 (I51),1671 (I33)
Qualification 47,7443 (H52),6988 (H43),3834 (H50),7433 (H49),2441 (H45),6885 (I37)
Qualification 48,7447 (I25),4183 (G44),5700 (G38),4013 (I28),4020 (G36),6413 (I50)
Qualification 49,3735 (I39),3635 (H26),7461 (H30),6704 (I38),7787 (I41),2046 (G34)
Qualification 50,4499 (H46),4063 (I40),1477 (H36),1987 (H42),1425 (I52),1072 (H51)
Qualification 51,6485 (H35),744 (H44),6064 (I34),1899 (H32),832 (G50),5013 (I29)
Qualification 52,2122 (H33),691 (H48),59 (I44),5803 (I42),7607 (G30),2158 (G46)
Qualification 53,3824 (H41),3663 (I30),3616 (I43),5887 (H47),2438 (I32),6838 (I31)
Qualification 54,6907 (H37),2357 (I47),4550 (H27),6506 (H34),7121 (G42),3476 (H28)
Qualification 55,3794 (G26),6934 (I46),7427 (H40),4043 (G28),3946 (G48),4910 (G52)
Qualification 56,6814 (I49),4192 (G32),6919 (I36),1311 (I48),7451 (H31),5022 (H38)
Qualification 57,2992 (H29),7635 (I35),4499 (H46),744 (H44),2714 (I27),2637 (H25)
Qualification 58,7607 (G30),6885 (I37),2976 (I45),3735 (I39),1899 (H32),1425 (I52)
Qualification 59,1072 (H51),7433 (H49),59 (I44),5887 (H47),7461 (H30),6907 (H37)
Qualification 60,2438 (I32),4910 (G52),4063 (I40),6064 (I34),7447 (I25),6506 (H34)
Qualification 61,6919 (I36),1671 (I33),7443 (H52),7121 (G42),3635 (H26),2122 (H33)
