Description,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 1,4965 (E26),231 (E02),585 (D28),3737 (F15),972 (E25),5842 (F17)
Qualification 2,1658 (F07),1410 (G23),3243 (E23),5190 (F11),3859 (E24),1771 (D22)
Qualification 3,2898 (E29),4005 (F18),7525 (D16),2412 (F16),2813 (F08),7906 (E21)
Qualification 4,1251 (E19),6829 (E15),4610 (F04),4276 (G27),7565 (F09),3991 (F25)
Qualification 5,148 (D30),2557 (D18),5411 (F24),2485 (F12),7459 (E16),7492 (E18)
Qualification 6,1369 (F06),3881 (E06),6803 (G25),2907 (F05),7403 (F21),4639 (D14)
Qualification 7,5427 (F28),1912 (F13),2642 (F27),6026 (E28),6304 (E27),6364 (D26)
Qualification 8,1533 (F14),7458 (F22),2341 (D20),568 (E10),3366 (F03),1566 (E20)
Qualification 9,3647 (E08),1318 (F20),4336 (E13),359 (F10),4941 (E17),2429 (F19)
Qualification 10,6695 (E03),7425 (D24),6647 (E09),3847 (E01),6901 (F23),2655 (E07)
Qualification 11,2415 (E22),294 (E04),5332 (D10),1296 (E14),5550 (E12),7498 (F26)
Qualification 12,972 (E25),2412 (F16),1410 (G23),5059 (E05),1912 (F13),2557 (D18)
Qualification 13,1369 (F06),3737 (F15),7459 (E16),1533 (F14),4610 (F04),7906 (E21)
Qualification 14,2642 (F27),2813 (F08),5190 (F11),4639 (D14),1566 (E20),6803 (G25)
Qualification 15,5427 (F28),7565 (F09),3243 (E23),2485 (F12),2341 (D20),3647 (E08)
Qualification 16,1251 (E19),294 (E04),585 (D28),4941 (E17),3366 (F03),2898 (E29)
Qualification 17,4336 (E13),2655 (E07),5332 (D10),1771 (D22),4965 (E26),3847 (E01)
Qualification 18,7492 (E18),7425 (D24),3859 (E24),6364 (D26),7498 (F26),7403 (F21)
Qualification 19,3991 (F25),5842 (F17),359 (F10),3881 (E06),5411 (F24),6647 (E09)
Qualification 20,1658 (F07),2907 (F05),5550 (E12),5059 (E05),7458 (F22),1318 (F20)
Qualification 21,568 (E10),148 (D30),7525 (D16),6304 (E27),6901 (F23),4276 (G27)
Qualification 22,6829 (E15),6026 (E28),6695 (E03),4005 (F18),231 (E02),1296 (E14)
Qualification 23,2415 (E22),1251 (E19),1533 (F14),1771 (D22),2429 (F19),972 (E25)
Qualification 24,7906* (E21),2485 (F12),7498 (F26),3847* (E01),3366 (F03),2813 (F08)
Qualification 25,3647 (E08),2557 (D18),1566 (E20),3991 (F25),5332 (D10),2907 (F05)
Qualification 26,3859 (E24),4639 (D14),7525 (D16),4941 (E17),5411 (F24),1912 (F13)
Qualification 27,1318 (F20),6364 (D26),6901 (F23),2341 (D20),5842 (F17),2898 (E29)
Qualification 28,568 (E10),2429 (F19),1410 (G23),1369 (F06),7492 (E18),5550 (E12)
Qualification 29,2655 (E07),6803 (G25),359 (F10),3243 (E23),1296 (E14),3737 (F15)
Qualification 30,6829 (E15),4276 (G27),5059 (E05),6304 (E27),5190 (F11),3881 (E06)
Qualification 31,7565 (F09),585 (D28),7459 (E16),1658 (F07),4336 (E13),7425 (D24)
Qualification 32,6026 (E28),4610 (F04),5427 (F28),7458 (F22),6647 (E09),4965 (E26)
Qualification 33,148 (D30),7403 (F21),294 (E04),2412 (F16),6695 (E03),2642 (F27)
Qualification 34,3847 (E01),3991 (F25),4005 (F18),231 (E02),568 (E10),2415 (E22)
Qualification 35,6901 (F23),7906 (E21),5842 (F17),2907 (F05),7498 (F26),1912 (F13)
Qualification 36,2485 (F12),1296 (E14),6304 (E27),1251 (E19),1369 (F06),4941 (E17)
Qualification 37,1566 (E20),4610 (F04),6364 (D26),2557 (D18),4276 (G27),6803 (G25)
Qualification 38,5550 (E12),5427 (F28),972 (E25),7565 (F09),2655 (E07),2813 (F08)
Qualification 39,7458 (F22),2642 (F27),5411 (F24),2341 (D20),1410 (G23),6829 (E15)
Qualification 40,4336 (E13),6647 (E09),3243 (E23),2415 (E22),5059 (E05),7403 (F21)
