,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 1,4907 (B02),6569 (E10),3197 (C08),4967 (G09),4145 (H05),834 (D09)
Qualification 2,27 (E09),5585 (A02),1262 (D05),6328 (C06),379 (D07),5205 (D03)
Qualification 3,2451 (B05),1629 (E08),5934 (G03),1285 (E03),346 (F09),2168 (A10)
Qualification 4,3026 (F05),4476 (E06),525 (B01),341 (C02),6574 (G04),5401 (B09)
Qualification 5,4338 (F03),3324 (B03),5618 (D10),1259 (C07),4939 (F02),3620 (G07)
Qualification 6,7531 (E04),4590 (B06),6964 (F07),3572 (F06),4122 (G06),2358 (G02)
Qualification 7,3313 (C04),1086 (G05),5992 (H09),4917 (E02),4329 (B10),7850 (A04)
Qualification 8,7626 (F04),333 (B04),2576 (G10),5422 (A08),5667 (E07),203 (G08)
Qualification 9,2095 (G01),229 (D04),2534 (F10),1577 (C01),7457 (C03),6909 (F08)
Qualification 10,977 (E01),2177 (A06),1747 (B07),2626 (D02),7460 (C05),4909 (D06)
Qualification 11,1153 (C09),3357 (H01),4817 (H07),1155 (B08),610 (D08),548 (F01)
Qualification 12,3986 (D01),5401 (B09),4338 (F03),4917 (E02),7554 (C10),346 (F09)
Qualification 13,525 (B01),203 (G08),3197 (C08),5934 (G03),5667 (E07),4122 (G06)
Qualification 14,2358 (G02),4145 (H05),1285 (E03),229 (D04),4939 (F02),5585 (A02)
Qualification 15,2626 (D02),5422 (A08),5992 (H09),3026 (F05),7457 (C03),1629 (E08)
Qualification 16,2534 (F10),4967 (G09),6328 (C06),341 (C02),1747 (B07),3313 (C04)
Qualification 17,4909 (D06),3357 (H01),4329 (B10),2095 (G01),6964 (F07),5205 (D03)
Qualification 18,7626 (F04),2451 (B05),4907 (B02),1153 (C09),1262 (D05),1259 (C07)
Qualification 19,2168 (A10),977 (E01),6574 (G04),5618 (D10),4590 (B06),548 (F01)
Qualification 20,6909 (F08),379 (D07),7554 (C10),333 (B04),3572 (F06),834 (D09)
Qualification 21,3986 (D01),1577 (C01),1155 (B08),2177 (A06),4476 (E06),7531 (E04)
Qualification 22,3620 (G07),27 (E09),2576 (G10),1086 (G05),7850 (A04),6569 (E10)
Qualification 23,1262 (D05),7460 (C05),3324 (B03),5422 (A08),4817 (H07),610 (D08)
Qualification 24,5205 (D03),3313* (C04),1153 (C09),5934 (G03),6574* (G04),2095 (G01)
Qualification 25,4917 (E02),834 (D09),229* (D04),3357* (H01),2451 (B05),977 (E01)
Qualification 26,1577 (C01),525 (B01),1259 (C07),5992 (H09),2358 (G02),4909 (D06)
Qualification 27,2534 (F10),27 (E09),1629 (E08),7554 (C10),548 (F01),203 (G08)
