Description,Blue 1,Blue 2,Blue 3,Red 1,Red 2,Red 3
Qualification 1,3035 (I15),3478 (H08),6995 (H23),6986 (I19),3966 (H17),2839 (I09)
Qualification 2,3310 (I17),7661 (H03),2556 (I18),5930 (G17),589 (I06),1094 (G09)
Qualification 3,7494 (H20),6025 (I22),6391 (H12),6377 (H24),1619 (G18),2582 (G16)
Qualification 4,1730 (H02),2403 (G02),5993 (H15),948 (G24),6831 (I16),6315 (I24)
Qualification 5,7840 (H16),4401 (H01),7464 (I03),7724 (G19),7528 (I21),5012 (H05)
Qualification 6,3933 (I07),649 (G06),6072 (I14),5805 (G22),1683 (G14),7753 (G07)
Qualification 7,5857 (G21),6144 (I04),5468 (H13),3937 (I10),254 (G01),5716 (H19)
Qualification 8,4513 (H07),2930 (H10),1700 (I05),2733 (G04),1622 (G15),5754 (I12)
Qualification 9,1421 (G08),6957 (H06),4451 (I23),6672 (H09),4613 (H04),4125 (G13)
Qualification 10,1726 (H22),1868 (I08),4522 (G10),7621 (H21),5872 (I13),2383 (G03)
Qualification 11,3196 (G20),5199 (H18),3284 (I20),7308 (G05),6579 (I11),6321 (H14)
Qualification 12,5993 (H15),3933 (I07),1619 (G18),5857 (G21),6377 (H24),7277 (G11)
Qualification 13,6986 (I19),5754 (I12),1094 (G09),7840 (H16),7724 (G19),3937 (I10)
Qualification 14,1730 (H02),6995 (H23),5930 (G17),7528 (I21),4451 (I23),5805 (G22)
Qualification 15,2733 (G04),1683 (G14),7494 (H20),3310 (I17),254 (G01),948 (G24)
Qualification 16,6072 (I14),1700 (I05),3284 (I20),3035 (I15),5012 (H05),6957 (H06)
Qualification 17,1726 (H22),7661 (H03),2930 (H10),6315 (I24),3196 (G20),3478 (H08)
Qualification 18,6321 (H14),7621 (H21),6025 (I22),6831 (I16),7753 (G07),4401 (H01)
Qualification 19,4522 (G10),6579 (I11),589 (I06),4125 (G13),6391 (H12),6144 (I04)
Qualification 20,7308 (G05),6672 (H09),1421 (G08),3966 (H17),2403 (G02),5716 (H19)
Qualification 21,7277 (G11),2383 (G03),2582 (G16),5199 (H18),4513 (H07),2556 (I18)
Qualification 22,7464 (I03),4613 (H04),1868 (I08),649 (G06),5468 (H13),2839 (I09)
Qualification 23,3284 (I20),5872 (I13),6831 (I16),1622 (G15),3478 (H08),1683 (G14)
Qualification 24,5805 (G22),2930 (H10),7494* (H20),5857 (G21),6986* (I19),7724 (G19)
Qualification 25,1726 (H22),1421 (G08),948 (G24),1700 (I05),6025 (I22),7840 (H16)
Qualification 26,2383 (G03),5716 (H19),3196 (G20),5930 (G17),3937 (I10),6377 (H24)
Qualification 27,5012 (H05),2556 (I18),7621 (H21),5993 (H15),4613 (H04),5754 (I12)
Qualification 28,2403 (G02),3035 (I15),649 (G06),4451 (I23),4522 (G10),2582 (G16)
Qualification 29,2839 (I09),7528 (I21),6072 (I14),1094 (G09),1619 (G18),5872 (I13)
Qualification 30,1622 (G15),5199 (H18),6672 (H09),3933 (I07),7661 (H03),6144 (I04)
Qualification 31,7753 (G07),4125 (G13),589 (I06),6315 (I24),7277 (G11),4401 (H01)
Qualification 32,6957 (H06),1730 (H02),6579 (I11),3966 (H17),2733 (G04),254 (G01)
Qualification 33,1868 (I08),6995 (H23),7308 (G05),6391 (H12),3310 (I17),7464 (I03)
Qualification 34,6321 (H14),4522 (G10),5012 (H05),5468 (H13),4513 (H07),5930 (G17)
Qualification 35,2556 (I18),3937 (I10),6072 (I14),948 (G24),2930 (H10),6025 (I22)
Qualification 36,3478 (H08),1094 (G09),4451 (I23),1622 (G15),6377 (H24),7621 (H21)
Qualification 37,5754 (I12),1726 (H22),1730 (H02),7494 (H20),3284 (I20),5857 (G21)
Qualification 38,6986 (I19),5716 (H19),6315 (I24),4613 (H04),2582 (G16),6579 (I11)
Qualification 39,1868 (I08),7753 (G07),3035 (I15),7661 (H03),7308 (G05),7840 (H16)
Qualification 40,4401 (H01),1683 (G14),1700 (I05),5468 (H13),5199 (H18),1619 (G18)
Qualification 41,3966 (H17),7464 (I03),5805 (G22),4513 (H07),4125 (G13),6831 (I16)
Qualification 42,6995 (H23),5993 (H15),7724 (G19),6144 (I04),589 (I06),649 (G06)
Qualification 43,3196 (G20),6321 (H14),3310 (I17),7277 (G11),6957 (H06),2839 (I09)
Qualification 44,2383 (G03),2733 (G04),7528 (I21),2403 (G02),1421 (G08),3933 (I07)
Qualification 45,6672 (H09),254 (G01),5930 (G17),3035 (I15),5872 (I13),6391 (H12)
Qualification 46,7661 (H03),2582 (G16),1622 (G15),1730 (H02),5468 (H13),4613 (H04)
Qualification 47,6377 (H24),3966 (H17),4522 (G10),5199 (H18),6072 (I14),7724 (G19)
Qualification 48,1683 (G14),1726 (H22),2556 (I18),6995 (H23),6321 (H14),7464 (I03)
Qualification 49,7308 (G05),1094 (G09),6957 (H06),4401 (H01),5993 (H15),1421 (G08)
Qualification 50,1619 (G18),6831 (I16),1868 (I08),5754 (I12),6579 (I11),948 (G24)
