Team,AdjDP,AwardsAdj,TotalDP,AwardsTotal,Playoff,BestPlayoff,Alliance,BestAlliance,Qual,BestQual,AdjPlayoff,AdjAlliance,AdjQual,Awards,AdjAwards,NumEvents
1482,36.811217959013,36.811217959013,59.8,59.8,30.0,30,1.0,1,28.8,14,0.6155722066724582,18.467166200173743,17.728479552166796,0.0,0.0,2
2122,97.4605752266186,101.24986664289459,257.2,267.2,106.0,30,63.0,16,88.2,22,23.872535922538773,40.16648901252555,33.42155029155428,10.0,3.7892914162759954,4
2130,42.0,47.0,42,47,10,10,15,15,17,17,15.0,10.0,17.0,5,5.0,1
216,40.16648901252555,43.955780428801546,106,116,20,20,31,11,55,17,11.746803390455586,7.578582832551991,20.841102789517976,10,3.7892914162759954,4
244,48.360392845312035,48.360392845312035,149.2,149.2,30.0,20,36.0,14,83.2,20,11.66872749618789,9.723939580156575,26.96772576896757,0.0,0.0,5
288,25.76718163067677,27.661827338814767,68,73,0,0,22,13,46,18,8.33644111580719,0.0,17.43074051486958,5,1.8946457081379977,4
3216,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
3354,32.00975474696782,35.08761578033012,52,57,10,10,13,9,29,15,8.002438686741955,6.155722066724581,17.851593993501286,5,3.0778610333622907,2
3933,36.93433240034749,36.93433240034749,60,60,0,0,24,15,36,20,14.773732960138997,0.0,22.160599440208493,0,0.0,2
4010,21.041222777447427,27.066242515483033,45.4,58.4,0.0,0,9.0,8,36.4,12,4.171167510947728,0.0,16.8700552664997,13.0,6.025019738035607,3
4191,26.4696048869157,32.62532695364028,43.0,53.0,20.0,20,3.0,3,20.0,14,1.8467166200173746,12.311444133449163,12.311444133449163,10.0,6.155722066724581,2
4334,60.15750476900168,62.47482005286153,129.8,134.8,30.0,30,41.8,16,58.0,20,19.372755773068338,13.903891703159093,26.880857292774248,5.0,2.317315283859849,3
4604,17.0,22.0,17,22,0,0,4,4,13,13,4.0,0.0,13.0,5,5.0,1
4625,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
4627,42.47448226039961,45.55234329376191,69,74,10,10,23,15,36,21,14.158160753466538,6.155722066724581,22.160599440208493,5,3.0778610333622907,2
4634,14.0,14.0,14,14,0,0,0,0,14,14,0.0,0.0,14.0,0,0.0,1
4733,13.0,13.0,13,13,0,0,0,0,13,13,0.0,0.0,13.0,0,0.0,1
4774,43.56552733656516,48.20015790428486,94,104,10,10,34,13,50,19,15.757743930246974,4.634630567719698,23.17315283859849,10,4.634630567719698,3
5015,54.0,54.0,54,54,20,20,14,14,20,20,14.0,20.0,20.0,0,0.0,1
5078,26.0,26.0,26,26,10,10,5,5,11,11,5.0,10.0,11.0,0,0.0,1
5118,18.467166200173747,18.467166200173747,30,30,0,0,9,9,21,11,5.540149860052123,0.0,12.927016340121622,0,0.0,2
5515,36.150118428213645,40.78474899593334,78.0,88.0,10.0,10,20.0,14,48.0,20,9.269261135439397,4.634630567719698,22.24622672505455,10.0,4.634630567719698,3
5597,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
5630,19.69831061351866,19.69831061351866,32,32,10,10,2,2,20,11,1.2311444133449163,6.155722066724581,12.311444133449163,0,0.0,2
5725,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
5883,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
5897,28.931893713605536,28.931893713605536,47,47,10,10,12,12,25,19,7.386866480069498,6.155722066724581,15.389305166811454,0,0.0,2
6008,26.0,31.0,26,31,0,0,10,10,16,16,10.0,0.0,16.0,5,5.0,1
6041,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
6169,13.0,13.0,13,13,0,0,0,0,13,13,0.0,0.0,13.0,0,0.0,1
6178,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
6188,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
6351,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
6364,8.0,13.0,8,13,0,0,0,0,8,8,0.0,0.0,8.0,5,5.0,1
6390,21.66814167487053,26.592719328250194,35.2,43.2,0.0,0,7.0,7,28.2,15,4.309005446707207,0.0,17.35913622816332,8.0,4.924577653379665,2
6403,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
6406,37.0,37.0,37,37,10,10,12,12,15,15,12.0,10.0,15.0,0,0.0,1
6408,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
6458,27.0,27.0,27,27,0,0,10,10,17,17,10.0,0.0,17.0,0,0.0,1
6485,4.0,9.0,4,9,0,0,0,0,4,4,0.0,0.0,4.0,5,5.0,1
6563,12.0,12.0,12,12,0,0,0,0,12,12,0.0,0.0,12.0,0,0.0,1
6673,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
6679,29.0,34.0,29,34,0,0,11,11,18,18,11.0,0.0,18.0,5,5.0,1
6700,14.0,14.0,14,14,0,0,0,0,14,14,0.0,0.0,14.0,0,0.0,1
6701,14.0,14.0,14,14,0,0,0,0,14,14,0.0,0.0,14.0,0,0.0,1
6703,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
6719,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
6724,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
1108,18.467166200173747,21.545027233536036,30,35,0,0,1,1,29,15,0.6155722066724582,0.0,17.851593993501286,5,3.0778610333622907,2
1319,47.273231790740915,50.054010131372735,102.0,108.0,40.0,20,15.2,12,46.8,19,7.044638462933941,18.538522270878794,21.690071056928186,6.0,2.780778340631819,3
1369,25.39777551110394,27.715090794963793,54.8,59.8,0.0,0,20.0,10,34.8,16,9.269261135439397,0.0,16.128514375664547,5.0,2.317315283859849,3
1539,17.851593993501286,17.851593993501286,29,29,0,0,8,8,21,11,4.924577653379665,0.0,12.927016340121622,0,0.0,2
1706,59.69404171222971,64.32867227994942,128.8,138.8,30.0,30,43.4,16,55.4,21,20.114296663903488,13.903891703159093,25.675853345167127,10.0,4.634630567719698,3
1758,27.08517709358816,27.08517709358816,44,44,0,0,10,10,34,18,6.155722066724581,0.0,20.92945502686358,0,0.0,2
179,63.772516611823036,66.08983189568289,137.6,142.6,42.0,30,40.2,15,55.4,19,18.631214882233188,19.465448384422732,25.675853345167127,5.0,2.317315283859849,3
180,92.1364556862676,100.94225376493502,198.8,217.8,84.0,30,49.0,16,65.8,22,22.70968978182652,38.930896768845464,30.495869135595612,19.0,8.805798078667426,3
2010,31.39418254029537,31.39418254029537,51,51,10,10,14,10,27,17,8.618010893414414,6.155722066724581,16.62044958015637,0,0.0,2
2016,36.150118428213645,40.78474899593334,78,88,30,20,11,9,37,17,5.098093624491668,13.903891703159093,17.148133100562884,10,4.634630567719698,3
2386,45.02508156931833,45.02508156931833,138.91,138.91,41.1,30,25.32,36,72.49000000000001,57,8.20700500565215,13.321797224814508,23.49627933885167,0.0,0.0,5
2556,27.993168629026975,27.993168629026975,60.4,60.4,10.0,10,12.0,11,38.4,12,5.561556681263638,4.634630567719698,17.79698138004364,0.0,0.0,3
2783,32.34972136268349,34.66703664654334,69.8,74.8,20.0,20,10.0,5,39.8,16,4.634630567719698,9.269261135439397,18.445829659524396,5.0,2.317315283859849,3
2815,19.69831061351866,19.69831061351866,32,32,0,0,6,6,26,13,3.693433240034749,0.0,16.00487737348391,0,0.0,2
2973,13.0,13.0,13,13,0,0,0,0,13,13,0.0,0.0,13.0,0,0.0,1
3139,14.0,14.0,14,14,0,0,0,0,14,14,0.0,0.0,14.0,0,0.0,1
3319,24.007316060225868,24.007316060225868,39,39,10,10,4,4,25,13,2.4622888266898326,6.155722066724581,15.389305166811454,0,0.0,2
34,43.70562667374453,43.70562667374453,71,71,30,20,15,8,26,14,9.233583100086872,18.467166200173743,16.00487737348391,0,0.0,2
343,24.007316060225868,24.007316060225868,39,39,0,0,16,9,23,14,9.84915530675933,0.0,14.158160753466538,0,0.0,2
3490,27.437012960900613,32.07164352862031,59.2,69.2,0.0,0,13.0,13,46.2,18,6.025019738035607,0.0,21.411993222865007,10.0,4.634630567719698,3
3814,34.47204357365766,34.47204357365766,56,56,10,10,14,14,32,21,8.618010893414414,6.155722066724581,19.69831061351866,0,0.0,2
3861,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
3959,40.13590071645258,42.45321600031243,86.6,91.6,30.0,30,11.6,8,45.0,17,5.3761714585548495,13.903891703159093,20.855837554738642,5.0,2.317315283859849,3
