Team,AdjDP,AwardsAdj,TotalDP,AwardsTotal,Playoff,BestPlayoff,Alliance,BestAlliance,Qual,BestQual,AdjPlayoff,AdjAlliance,AdjQual,Awards,AdjAwards,NumEvents
1319,11.695871926776706,14.773732960138997,19,24,0,0,0,0,19,13,0.0,0.0,11.695871926776706,5,3.0778610333622907,2
1421,67.09737052729794,70.17523156066024,109,114,40,30,29,16,40,22,17.851593993501286,24.622888266898325,24.622888266898325,5,3.0778610333622907,2
1466,14.158160753466538,14.158160753466538,23,23,0,0,0,0,23,12,0.0,0.0,14.158160753466538,0,0.0,2
16,64.01950949393564,70.17523156066024,104,114,30,20,31,16,43,22,19.082738406846204,18.467166200173743,26.4696048869157,10,6.155722066724581,2
2183,22.160599440208493,22.160599440208493,36,36,10,10,4,4,22,14,2.4622888266898326,6.155722066724581,13.542588546794079,0,0.0,2
234,60.71366043712804,65.34829100484774,131,141,40,20,32,16,59,22,14.830817816703034,18.538522270878794,27.34432034954622,10,4.634630567719698,3
2556,22.776171646880954,22.776171646880954,37,37,0,0,12,12,25,17,7.386866480069498,0.0,15.389305166811454,0,0.0,2
27,59.32327126681213,63.95790183453183,128,138,40,30,30,16,58,22,13.903891703159093,18.538522270878794,26.880857292774248,10,4.634630567719698,3
2783,25.854032680243243,25.854032680243243,42,42,0,0,10,10,32,16,6.155722066724581,0.0,19.69831061351866,0,0.0,2
2815,21.545027233536036,21.545027233536036,35,35,0,0,8,8,27,14,4.924577653379665,0.0,16.62044958015637,0,0.0,2
2973,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
3139,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
3319,13.54258854679408,13.54258854679408,22,22,0,0,0,0,22,15,0.0,0.0,13.542588546794079,0,0.0,2
34,17.23602178682883,17.23602178682883,28,28,0,0,0,0,28,16,0.0,0.0,17.23602178682883,0,0.0,2
342,53.55478198050386,53.55478198050386,87,87,20,10,27,14,40,20,16.62044958015637,12.311444133449163,24.622888266898325,0,0.0,2
364,82.4866756941094,88.64239776083397,134,144,60,30,31,16,43,22,19.082738406846204,36.934332400347486,26.4696048869157,10,6.155722066724581,2
3792,33.24089916031274,41.2433378470547,54,67,30,20,6,3,18,10,3.693433240034749,18.467166200173743,11.080299720104247,13,8.002438686741955,2
3814,31.39418254029537,31.39418254029537,51,51,10,10,13,13,28,19,8.002438686741955,6.155722066724581,17.23602178682883,0,0.0,2
3843,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
3959,25.854032680243243,25.854032680243243,42,42,0,0,9,9,33,19,5.540149860052123,0.0,20.313882820191118,0,0.0,2
4013,29.547465920277993,38.78104902036487,48,63,20,20,6,5,22,12,3.693433240034749,12.311444133449163,13.542588546794079,15,9.233583100086872,2
4265,23.39174385355341,23.39174385355341,38,38,0,0,5,5,33,21,3.0778610333622907,0.0,20.313882820191118,0,0.0,2
4306,16.00487737348391,16.00487737348391,26,26,0,0,0,0,26,14,0.0,0.0,16.00487737348391,0,0.0,2
442,13.0,13.0,13,13,0,0,0,0,13,13,0.0,0.0,13.0,0,0.0,1
4451,81.87110348743694,88.02682555416152,133,143,60,30,31,16,42,21,19.082738406846204,36.934332400347486,25.854032680243243,10,6.155722066724581,2
4533,13.0,13.0,13,13,0,0,0,0,13,13,0.0,0.0,13.0,0,0.0,1
456,45.55234329376191,51.708065360486486,74,84,10,10,26,15,38,21,16.00487737348391,6.155722066724581,23.39174385355341,10,6.155722066724581,2
4740,7.0,7.0,7,7,0,0,0,0,7,7,0.0,0.0,7.0,0,0.0,1
4764,5.540149860052123,8.618010893414414,9,14,0,0,0,0,9,5,0.0,0.0,5.540149860052123,5,3.0778610333622907,2
4924,25.0,25.0,25,25,0,0,9,9,16,16,9.0,0.0,16.0,0,0.0,1
4965,33.24089916031274,36.31876019367503,54,59,0,0,20,11,34,17,12.311444133449163,0.0,20.92945502686358,5,3.0778610333622907,2
5005,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
5045,15.389305166811454,15.389305166811454,25,25,0,0,0,0,25,14,0.0,0.0,15.389305166811454,0,0.0,2
5058,5.0,5.0,5,5,0,0,0,0,5,5,0.0,0.0,5.0,0,0.0,1
538,20.0,20.0,20,20,0,0,6,6,14,14,6.0,0.0,14.0,0,0.0,1
5410,19.9289114411947,22.246226725054548,43,48,0,0,10,10,33,16,4.634630567719698,0.0,15.294280873475003,5,2.317315283859849,3
547,10.0,10.0,10,10,0,0,0,0,10,10,0.0,0.0,10.0,0,0.0,1
5616,4.0,4.0,4,4,0,0,0,0,4,4,0.0,0.0,4.0,0,0.0,1
5858,10.0,15.0,10,15,0,0,0,0,10,10,0.0,0.0,10.0,5,5.0,1
6107,15.0,15.0,15,15,0,0,0,0,15,15,0.0,0.0,15.0,0,0.0,1
6145,9.0,9.0,9,9,0,0,0,0,9,9,0.0,0.0,9.0,0,0.0,1
6157,11.0,11.0,11,11,0,0,0,0,11,11,0.0,0.0,11.0,0,0.0,1
63,22.776171646880954,22.776171646880954,37,37,0,0,7,7,30,16,4.309005446707207,0.0,18.467166200173743,0,0.0,2
6366,34.47204357365766,37.54990460701995,56,61,10,10,16,12,30,18,9.84915530675933,6.155722066724581,18.467166200173743,5,3.0778610333622907,2
6404,16.62044958015637,19.69831061351866,27,32,0,0,0,0,27,15,0.0,0.0,16.62044958015637,5,3.0778610333622907,2
6937,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
7072,41.2433378470547,41.2433378470547,67,67,30,30,11,9,26,15,6.771294273397039,18.467166200173743,16.00487737348391,0,0.0,2
7111,15.0,15.0,15,15,0,0,0,0,15,15,0.0,0.0,15.0,0,0.0,1
7313,6.0,6.0,6,6,0,0,0,0,6,6,0.0,0.0,6.0,0,0.0,1
7428,9.0,14.0,9,14,0,0,0,0,9,9,0.0,0.0,9.0,5,5.0,1
7446,15.0,23.0,15,23,0,0,0,0,15,15,0.0,0.0,15.0,8,8.0,1
7484,11.0,16.0,11,16,0,0,0,0,11,11,0.0,0.0,11.0,5,5.0,1
7512,13.0,13.0,13,13,0,0,0,0,13,13,0.0,0.0,13.0,0,0.0,1
7525,16.00487737348391,16.00487737348391,26,26,0,0,0,0,26,17,0.0,0.0,16.00487737348391,0,0.0,2
7693,8.0,8.0,8,8,0,0,0,0,8,8,0.0,0.0,8.0,0,0.0,1
1723,20.92945502686358,24.007316060225868,34,39,0,0,9,9,25,15,5.540149860052123,0.0,15.389305166811454,5,3.0778610333622907,2
1939,40.0,45.0,40,45,10,10,15,15,15,15,15.0,10.0,15.0,5,5.0,1
1982,28.316321506933075,28.316321506933075,46,46,10,10,11,10,25,15,6.771294273397039,6.155722066724581,15.389305166811454,0,0.0,2
2080,44.93677108708945,54.17035418717632,73,88,30,30,14,11,29,16,8.618010893414414,18.467166200173743,17.851593993501286,15,9.233583100086872,2
2164,20.0,20.0,20,20,0,0,7,7,13,13,7.0,0.0,13.0,0,0.0,1
2357,22.776171646880954,28.931893713605536,37,47,10,10,2,2,25,14,1.2311444133449163,6.155722066724581,15.389305166811454,10,6.155722066724581,2
2992,70.79080376733269,76.94652583405727,115,125,50,30,28,14,37,20,17.23602178682883,30.778610333622908,22.77617164688095,10,6.155722066724581,2
3011,11.695871926776706,11.695871926776706,19,19,0,0,0,0,19,11,0.0,0.0,11.695871926776706,0,0.0,2
3039,70.17523156066024,78.17767024740219,114,127,50,30,28,14,36,20,17.23602178682883,30.778610333622908,22.160599440208493,13,8.002438686741955,2
323,48.014632120451736,54.17035418717632,78,88,20,10,26,15,32,21,16.00487737348391,12.311444133449163,19.69831061351866,10,6.155722066724581,2
3616,37.54990460701995,40.62776564038224,61,66,0,0,23,13,38,20,14.158160753466538,0.0,23.39174385355341,5,3.0778610333622907,2
3937,51.092493153814026,60.3260762539009,83,98,20,10,29,16,34,21,17.851593993501286,12.311444133449163,20.92945502686358,15,9.233583100086872,2
3946,32.62532695364028,32.62532695364028,53,53,20,20,3,3,30,17,1.8467166200173746,12.311444133449163,18.467166200173743,0,0.0,2
3991,40.01219343370978,40.01219343370978,65,65,30,30,11,10,24,13,6.771294273397039,18.467166200173743,14.773732960138997,0,0.0,2
4087,49.24577653379666,52.32363756715895,80,85,20,20,24,12,36,19,14.773732960138997,12.311444133449163,22.160599440208493,5,3.0778610333622907,2
4336,42.47448226039961,42.47448226039961,69,69,10,10,26,15,33,17,16.00487737348391,6.155722066724581,20.313882820191118,0,0.0,2
